"state","high_school_completion","bachelor_or_higher","year","avg_unemp_rate"
"Washington",91.3079157129559,35.617427804086,2017,4.65
"West Virginia",87.0021861670844,20.2243496367713,2017,5.2
"Wisconsin",92.4692741836405,30.458486968735,2017,3.28333333333333
"Wyoming",93.0697121324438,27.5517873321802,2017,4.34166666666667
"Alabama",86.4861530944157,25.3013815767412,2018,3.925
"Alaska",93.9762970679299,30.0813108953293,2018,6.09166666666667
"Arizona",87.6275485699377,29.6115954315844,2018,4.80833333333333
"Arkansas",87.2967697079902,23.2893298154289,2018,3.65
"California",83.9102840789222,34.3650287791398,2018,4.25833333333333
"Colorado",92.1500114018885,41.9890895854971,2018,3.025
"Connecticut",90.830356766817,39.6963200211786,2018,3.9
"Delaware",89.6296895570249,31.2080137092089,2018,3.69166666666667
"District Of Columbia",91.7535077542985,60.2465162064538,2018,5.71666666666667
"Florida",88.4869994281513,30.4516559104648,2018,3.64166666666667
"Georgia",87.4926668828409,32.0235221190875,2018,4.01666666666667
"Hawaii",91.7077633431992,33.2159905191544,2018,2.4
"Idaho",90.7145742933748,27.3982234021901,2018,2.875
"Illinois",89.4169908044968,35.1771599850269,2018,4.39166666666667
"Indiana",88.7651945936998,26.882966396292,2018,3.43333333333333
"Iowa",92.2232000523476,28.6266618238787,2018,2.58333333333333
"Kansas",90.9351245928995,33.3863222613169,2018,3.30833333333333
"Kentucky",87.0538526587679,25.168108725872,2018,4.2
"Louisiana",86.0479517210487,24.299536722632,2018,4.825
"Maine",92.8275513333157,30.6409785162636,2018,3.175
"Maryland",90.5080333212743,40.7376904453232,2018,3.80833333333333
"Massachusetts",90.7818812502428,44.4377437165865,2018,3.45833333333333
"Michigan",91.0341841268955,29.5564246895313,2018,4.16666666666667
"Minnesota",93.4463357669054,37.1630582351401,2018,3.025
"Mississippi",85.4228911818645,23.4432286291715,2018,4.94166666666667
"Missouri",90.3384832068355,29.5879678888084,2018,3.23333333333333
"Montana",93.4053452537926,30.3687418265703,2018,3.725
"Nebraska",91.7895584087879,32.8913824700787,2018,2.90833333333333
"Nevada",86.752915990312,24.8773506403884,2018,4.40833333333333
"New Hampshire",92.9087459520926,37.1590693726876,2018,2.63333333333333
"New Jersey",90.0525361539733,40.5519319574834,2018,4.01666666666667
"New Mexico",85.3195177528745,27.4689815057406,2018,4.93333333333333
"New York",87.2378789663266,37.275328091991,2018,4.1
"North Carolina",88.2880591738228,31.8954262899941,2018,4.00833333333333
"North Dakota",92.5654343619513,28.7627628707049,2018,2.39166666666667
"Ohio",90.5187813148489,28.8464382806458,2018,4.475
"Oklahoma",88.4690455760751,25.838855282203,2018,3.29166666666667
"Oregon",90.2432815111731,34.2300108729167,2018,4.03333333333333
"Pennsylvania",91.1272574395376,31.8196178223866,2018,4.40833333333333
"Rhode Island",88.8312585512237,34.5314266746905,2018,4.05
"South Carolina",88.1245465371774,28.2226091262223,2018,3.36666666666667
"South Dakota",92.1892640516544,28.872747831213,2018,2.76666666666667
"Tennessee",87.774863954973,27.3673170485781,2018,3.5
"Texas",83.8982432333219,30.2773131098502,2018,3.91666666666667
"Utah",92.7045721053589,35.0448905477656,2018,2.91666666666667
"Vermont",93.3715474949032,39.1287260482284,2018,2.5
"Virginia",90.0261580634271,39.4719593291509,2018,3
"Washington",91.5858011735327,36.6505101649993,2018,4.4
"West Virginia",88.0551924677633,21.3697857860109,2018,5.14166666666667
"Wisconsin",92.3104699008636,30.1959597752958,2018,3
"Wyoming",92.7263033626566,26.9883341584473,2018,4.06666666666667
"Alabama",86.912988,26.291437,2019,3.19166666666667
"Alaska",94.049238,31.099037,2019,5.6
"Arizona",87.672076,30.104665,2019,4.81666666666667
"Arkansas",87.252891,23.243769,2019,3.49166666666667
"California",84.095158,35.023941,2019,4.09166666666667
"Colorado",92.481621,42.810493,2019,2.66666666666667
"Connecticut",90.852907,40.134881,2019,3.58333333333333
"Delaware",90.43983,33.960163,2019,3.55
"District Of Columbia",91.82285,59.762774,2019,5.51666666666667
"Florida",88.438047,30.716057,2019,3.24166666666667
